date,recession,equal_weight,pca_pc1,ledoit_wolf_minvar
1926-09-13,False,-0.0686002831082295,-0.7747365824913964,2.79223243610779
1926-09-14,False,-0.0603246890115585,-0.7657538894180147,2.675283911830191
1926-09-15,False,-0.1167169610501406,-0.8309443775588512,2.65940318413422
1926-09-16,False,-0.1105633737801934,-0.8348024740907934,2.5621387224816594
1926-09-17,False,-0.1574124413027181,-0.8206844205306837,2.517338238096016
1926-09-18,False,-0.2888302649231568,-0.9713797499839598,2.4743342727009376
1926-09-20,False,-0.3116968988712084,-0.9707647070179191,2.5329505333858346
1926-09-21,False,-0.38257923926156,-1.067259405390373,2.5214012574058313
1926-09-22,False,-0.2927473697625122,-0.9654617972970925,2.420935214997186
1926-09-23,False,-0.5224266742898337,-1.2196505446820172,2.4174399809625813
1926-09-24,False,-0.5799584923414149,-1.2881000975822017,2.2728072916488604
1926-09-25,False,-0.7017951580446062,-1.4431418769972912,2.234698697566386
1926-09-27,False,-0.7152728842043493,-1.4534057650806822,2.37719511322126
1926-09-28,False,-0.3432039219035576,-1.020294823190053,2.3992195780175485
1926-09-29,False,-0.215712986308047,-0.8726153095617833,2.3195562426512564
1926-09-30,False,-0.3747284500328843,-1.0672952632830028,2.41995482397451
1926-10-01,False,-0.0786058253279424,-0.7273253881180014,2.4383023982829313
1926-10-02,False,-0.1431872702505452,-0.8142536769640715,2.598635186665551
1926-10-04,False,-0.236024383581796,-0.8353195204618216,2.4081937512885405
1926-10-05,False,-0.2493810627993145,-0.8168276939821704,2.3354946667911407
1926-10-06,False,-0.12591480095154,-0.6417222306272728,2.2901998074791683
1926-10-07,False,-0.1090004816608817,-0.6214132949289026,2.2829417226635176
1926-10-08,False,-0.2295636987343671,-0.7952518913887817,2.289918059642353
1926-10-09,False,0.1096658506977171,-0.3727199398932973,2.280915283913361
1926-10-11,False,0.1669659975622999,-0.2750359641418777,2.2254422714254356
1926-10-13,False,0.1681500775446247,-0.27192959430485714,2.2290582468683264
1926-10-14,False,-0.1383335742680046,-0.6171269304819544,2.0980810718251646
1926-10-15,False,-0.1093698000075896,-0.49061401203923166,2.0343736400778525
1926-10-16,False,7.976509487377381e-05,-0.34866634421527753,2.055112461026029
1926-10-18,False,0.0606661784782353,-0.265029350558272,2.0729069574462775
1926-10-19,False,0.1284718979510614,-0.15763230968566125,2.0501063693287014
1926-10-20,False,0.0696676168779794,-0.2381096451265147,2.0364498988862954
1926-10-21,False,0.2765087122266504,0.06490324407399425,1.9185196170929546
1926-10-22,False,0.2806876253521345,0.04911260166867724,1.9430839038584262
1926-10-23,False,0.3333497642205752,0.14022088176953332,2.0168523676991197
1926-10-25,False,0.3011696051905624,0.10505965608963691,1.9966165416564596
1926-10-26,False,0.2476267085374396,0.05222846263790052,1.9762683941637573
1926-10-27,False,0.4057773660961493,0.24358421638309125,2.0201518822290585
1926-10-28,False,0.4790627055498023,0.3167459917199155,1.9736931030541736
1926-10-29,False,0.4381082263890944,0.25897015898776227,1.9629403286287943
1926-10-30,False,0.4295568662826965,0.24978478436994078,1.9694065974904313
1926-11-01,False,0.3724908976262348,0.19536684936917828,2.039571629027828
1926-11-03,False,0.3512764437961413,0.16524369884150525,2.026252780823172
1926-11-04,False,0.3241454883432846,0.1336410971842841,2.005064305650411
1926-11-05,False,0.3732678084295663,0.19084191144330082,2.0024782974443665
1926-11-06,False,0.4868926583925224,0.3179633515423042,1.9163756516677988
1926-11-08,False,0.497637466756508,0.32979126877543974,1.9110257096114718
1926-11-09,False,0.4990256651481564,0.3290138252014387,1.8820298030128257
1926-11-10,False,0.5110073533602975,0.3668859606744947,1.8241340707184666
1926-11-11,False,0.5328641737371838,0.3970365995548755,1.8337801199394712
1926-11-12,False,0.388594688968861,0.2371526316754785,1.8928825143393657
1926-11-13,False,0.4456296082669096,0.3183407011980867,1.888793996690506
1926-11-15,False,0.5531551440554165,0.4192532375157764,1.8454537296499443
1926-11-16,False,0.5532794689478714,0.42689580310826825,1.827641686036854
1926-11-17,False,0.4906081373705055,0.3652944806418921,1.7745412820337323
1926-11-18,False,0.2722077452991166,0.1240127020390906,1.8135448411832418
1926-11-19,False,0.4672077028487675,0.35347760640137915,1.7652750866493636
1926-11-20,False,0.1108863281024166,-0.056888729535050496,1.7418775485522726
1926-11-22,False,0.0615387408574612,-0.12673343340669616,1.7353885135246512
1926-11-23,False,0.0366164043684509,-0.1658658589677719,1.7227249190080567
1926-11-24,False,-0.1355078851482048,-0.3684548657184096,1.793172131434315
1926-11-26,False,-0.0251132871713817,-0.25663946373725666,1.8780463228389952
1926-11-27,False,0.0177541943896679,-0.20376147800476907,1.9059493540542005
