composite,n,n_recession,expansion_mean,recession_mean,mean_difference,cohen_d,auc,block_length,bootstrap_reps,bootstrap_p_value,ci_2_5,ci_97_5
Equal-weight baseline,26153,4218,2.073158654599791e-17,0.26350468957801215,0.26350468957801215,0.4810594446603564,0.6597252669991504,252,1000,7.341201428871383e-06,0.15511525299846707,0.3768374604079547
PCA PC1,26153,4218,-1.0365793272998954e-17,0.5403420729524325,0.5403420729524325,0.5666930341405004,0.6853498682419057,252,1000,4.053604979089904e-07,0.33284364871838973,0.7427502171777174
Ledoit-Wolf min-var,26153,4218,4.146317309199582e-17,0.47961190690176303,0.479611906901763,0.47959557699913025,0.6403412038002274,252,1000,0.02167446399827331,0.08526593447648573,0.8795298187142216
