model,pooled_auc,fold_auc_mean,fold_auc_sd
best naive,0.7732202697630245,0.7681207408089525,0.12692645937607602
TDA only,0.5593206478847925,0.6282238482810931,0.15197486487702372
TDA + all,0.7161462875669544,0.7641914815630088,0.12077705415224015
