date,window,assets_used,mean_abs_corr,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1926-09-13,60,49,0.1925632050654536,False,2.1272731662387607,-1.9486229245148887,-3.823501582038625,-1.8648072065454027,-2.217328960440457,-1.5453975014601224
1926-09-14,60,49,0.1970393474220191,False,2.106153190555585,-2.2978244979709177,-2.9035536856678443,-1.8466766815219706,-2.328934094314477,-1.454167153783925
1926-09-15,60,49,0.1972256888837381,False,2.1010266543048424,-2.3968457963779413,-3.0086931017915908,-1.841907440250432,-2.6020157345729915,-1.5496870837376224
1926-09-16,60,49,0.1981356041606495,False,2.0905564568100763,-2.5324569032624273,-3.333811857086849,-1.8351877731145492,-2.9189330347295552,-1.705966622276661
1926-09-17,60,49,0.2077423676074931,False,1.9706212233442202,-1.9040678275119298,-2.9541734285570156,-1.7437355413848372,-2.34802939684514,-1.3958769941909406
1926-09-18,60,49,0.208438389419937,False,1.9612312636214544,-2.0090432791748514,-3.114745290202363,-1.7333934953189924,-2.6349130271681207,-1.5061727656485746
1926-09-20,60,49,0.2127469743211234,False,1.9221292894878712,-1.7979587970461588,-3.548251713894009,-1.7033833613229477,-2.3317022775340264,-1.4918333720618537
1926-09-21,60,49,0.2095213873406735,False,1.9447545529141237,-2.3479448536197385,-3.7070125805818153,-1.7228173676480547,-2.606859007786746,-1.6879758513444458
1926-09-22,60,49,0.2097327527758802,False,1.9347703268285883,-2.5588647366925033,-3.222272194106226,-1.7169061076054102,-2.64195060996206,-1.6410446643075223
1926-09-23,60,49,0.2088989652358421,False,1.9175465890811758,-2.529044914271725,-3.7107162721507194,-1.7052173071773293,-2.645204736513602,-1.7345273282064397
1926-09-24,60,49,0.2108142551384001,False,1.8996207991461387,-3.1997116560427123,-3.493540201410936,-1.6871786997311045,-2.944431529034669,-1.8850482574146565
1926-09-25,60,49,0.2092017966198597,False,1.9106130284436418,-3.4956033104519415,-3.6585910705383062,-1.6969210806970083,-3.110618002996225,-2.010224087247968
1926-09-27,60,49,0.208935223415712,False,1.9068015951808284,-3.3973763710208096,-2.8985205362011905,-1.691676467758246,-3.072830150315917,-1.8307203860230667
1926-09-28,60,49,0.2091695596339085,False,1.9101530826808184,-2.9905182958955043,-2.5187242523097964,-1.6937341480287,-2.7881130377675025,-1.6161873302641372
1926-09-29,60,49,0.2107330379519758,False,1.9001056070791325,-2.821618826506739,-2.518176058921719,-1.6860442080393583,-2.6028393372066465,-1.5457145647190662
1926-09-30,60,49,0.2071138003492635,False,1.9279469672618958,-2.5176190752694763,-2.463268943528953,-1.7057578632058252,-2.6113823606100417,-1.4740162550704798
1926-10-01,60,49,0.205176192670012,False,1.9361917104286899,-2.0190679230071744,-2.4610394006959178,-1.7093976184718833,-2.345857947540498,-1.3198342358573567
1926-10-02,60,49,0.2009087810408518,False,1.944018867853951,-1.670186355953751,-2.2463954420991525,-1.7124764514960344,-2.0980739132028603,-1.1566226589795694
1926-10-04,60,49,0.21746133267579,False,1.7504006055639685,-1.7758815753360384,-1.919541687551952,-1.5574053981256935,-2.079525348361912,-1.1163906807623254
1926-10-05,60,49,0.2281146186972536,False,1.6712570137419704,-2.1919792320137903,-2.242662184958534,-1.4955061539384435,-2.2570415553325023,-1.3031864225002603
1926-10-06,60,49,0.2330242060232283,False,1.6104552858755217,-1.8057625799014736,-1.8070149204274948,-1.4545476261118995,-1.9525938855319098,-1.0818927452194511
1926-10-07,60,49,0.2303891643578443,False,1.6086056787607863,-1.9025725692982476,-1.4275777592856744,-1.4553036611166343,-1.9319076397875221,-1.0217511901454583
1926-10-08,60,49,0.2251852763842013,False,1.6649147462436118,-2.2998554312536883,-2.459790662730393,-1.5036917206233795,-2.2955736693086637,-1.3787993475345028
1926-10-09,60,49,0.2309575313746217,False,1.614415881814481,-1.9193198688894921,-1.4265688494302418,-1.4548186490479749,-1.884303950978093,-1.0141190873062642
