date,window,assets_used,mean_abs_corr,h0_landscape_l1,h1_landscape_l1,beta1,total_persistence_h0,total_persistence_h1,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1926-09-13,60,40,0.21911849035239425,10.133363037887765,0.00156361731723198,4,39.24114018678665,0.2385733723640442,False,1.5727605652819798,0.15247168422476912,-0.8878705827166048,-0.922878004893154,-0.25748507743813787,-0.06860028310822955
1926-09-14,60,40,0.22270199986980102,10.08146210804399,0.002425011220737794,3,39.120372265577316,0.27891653776168823,False,1.548303219249852,-0.17954762727353457,-0.2959658557346053,-0.9020159161038797,-0.4723972651956253,-0.06032468901155854
1926-09-15,60,40,0.22299087096977924,10.064441178761138,0.002618142066636686,3,39.08067122101784,0.3176538348197937,False,1.540282423504725,-0.25398879782681844,-0.2959658557346053,-0.8951577479054628,-0.6787548272885416,-0.11671696105014065
1926-09-16,60,40,0.22364805088219752,10.051085972641115,0.003038766684111849,2,39.05816173553467,0.3921041488647461,False,1.533989031490536,-0.41611613042686657,0.29593887124739415,-0.8912693404538119,-1.0753593007582187,-0.11056337378019343
1926-09-17,60,40,0.23837443330393862,9.778947845357953,0.002643353207282928,3,38.494917303323746,0.3477663993835449,False,1.4057490102128094,-0.2637062865684782,-0.2959658557346053,-0.7939715213211902,-0.8391675531021262,-0.15741244130271811
1926-09-18,60,40,0.23937361195787216,9.740726775607007,0.0034147893689446818,3,38.39959970116615,0.4150071144104004,False,1.3877380433297353,-0.5610519053584315,-0.2959658557346053,-0.7775058551121513,-1.1973657517403313,-0.28883026492315683
1926-09-20,60,40,0.24282826713095157,9.66951212757496,0.002893502474172749,4,38.24832201004028,0.36168158054351807,False,1.354179467506168,-0.3601248786046397,-0.8878705827166048,-0.7513733474685541,-0.9132951530724112,-0.3116968988712084
1926-09-21,60,40,0.23991115920682865,9.728360152421086,0.0036234567229529446,4,38.38297885656357,0.3762344717979431,False,1.3819105026013243,-0.6414815333463068,-0.8878705827166048,-0.7746346825989571,-0.9908199002472557,-0.38257923926156
1926-09-22,60,40,0.2406150726348574,9.706056272872438,0.004106481561948705,3,38.34715873003006,0.36726969480514526,False,1.3714002149894808,-0.8276606714006184,-0.2959658557346053,-0.7684469246852493,-0.9430636119815689,-0.2927473697625122
1926-09-23,60,40,0.24050947406495712,9.666261815383864,0.005125345167084738,4,38.27312183380127,0.3968943953514099,False,1.3526478184546127,-1.2203757710909684,-0.8878705827166048,-0.7556574000553602,-1.1008774360408473,-0.5224266742898337
1926-09-24,60,40,0.24402500722953366,9.616410643199867,0.006894007240647149,3,38.14660805463791,0.43372613191604614,False,1.3291563825230956,-1.9020963655221201,-0.2959658557346053,-0.7338027414047595,-1.2970838815686856,-0.5799584923414149
1926-09-25,60,40,0.24181764474469833,9.669589966121407,0.008297014000725689,3,38.26562136411667,0.4474114775657654,False,1.3542161474706857,-2.4428772285081077,-0.2959658557346053,-0.7543617292931702,-1.3699871241578339,-0.7017951580446062
1926-09-27,60,40,0.24148890455248728,9.684256935927051,0.006900602238183673,4,38.27305054664612,0.4510440230369568,False,1.3611276836774389,-1.9046383692819542,-0.8878705827166048,-0.7556450855355323,-1.3893380671650943,-0.7152728842043493
1926-09-28,60,40,0.2415050533491503,9.6868277058079,0.004842153710631791,3,38.284618496894836,0.3617253303527832,False,1.3623391110783383,-1.111221257678424,-0.2959658557346053,-0.7576433943809777,-0.9135282128021193,-0.3432039219035576
1926-09-29,60,40,0.2447540830569361,9.65814598475948,0.004915672336410104,2,38.22560012340546,0.347231924533844,False,1.3488233845087052,-1.1395585879217325,0.29593887124739415,-0.7474482487197405,-0.8363203506548614,-0.215712986308047
1926-09-30,60,40,0.24173510803721823,9.730518647011316,0.005106849355223098,3,38.35860687494278,0.37362760305404663,False,1.3829276529541334,-1.2132466670946307,-0.2959658557346053,-0.7704245377239607,-0.9769328425653584,-0.37472845003288435
1926-10-01,60,40,0.23992216585399687,9.739621649093955,0.003504134352351862,2,38.36291950941086,0.32343024015426636,False,1.3872172730541286,-0.5954894138617398,0.29593887124739415,-0.7711695249878615,-0.7095263320916337,-0.07860582532794247
1926-10-02,60,40,0.23316511205735369,9.838369330302118,0.0030118539903556396,3,38.52639138698578,0.3119874596595764,False,1.433750277692926,-0.405742787853702,-0.2959658557346053,-0.7994085208268803,-0.6485694645304648,-0.14318727025054528
1926-10-04,60,40,0.2539839933659565,9.412493756300343,0.003798221509038413,3,37.582919746637344,0.3351480960845947,False,1.2330643494957896,-0.7088436120818151,-0.2959658557346053,-0.6364282448230089,-0.7719485547653404,-0.23602438358179603
1926-10-05,60,40,0.26588268470897086,9.251510769571773,0.004003386380448504,3,37.234157264232635,0.32990896701812744,False,1.1572041168649425,-0.7879232283549021,-0.2959658557346053,-0.5761811709193114,-0.7440391758526962,-0.24938106279931455
1926-10-06,60,40,0.27082815846198094,9.124462575875407,0.0030611266176689966,3,37.009572863578796,0.27824562788009644,False,1.0973350230868182,-0.42473463784208876,-0.2959658557346053,-0.53738527495448,-0.4688232593133444,-0.12591480095154006
1926-10-07,60,40,0.2695546025890696,9.124809140618737,0.002937387258183044,3,37.02862960100174,0.27073580026626587,False,1.0974983352639924,-0.37704001546949173,-0.2959658557346053,-0.5406772364635483,-0.42881763590075594,-0.10900048166088176
1926-10-08,60,40,0.2629618911183252,9.257423014852316,0.003584313594778621,3,37.33714282512665,0.33881402015686035,False,1.1599901522806526,-0.6263940403730748,-0.2959658557346053,-0.593971440834283,-0.7914773090105255,-0.22956369873436716
1926-10-09,60,40,0.2698748004905066,9.129615073531799,0.002086054045443042,2,37.00552123785019,0.23938125371932983,False,1.099763041592294,-0.04889853919577834,0.29593887124739415,-0.53668537571928,-0.26178874443604433,0.10966585069771714
1926-10-11,60,40,0.2779850204419896,8.997674018826114,0.0018577397847003851,2,36.74049788713455,0.1990419626235962,False,1.0375882782403836,0.03910387566750437,0.29593887124739415,-0.4909038418608234,-0.04689719548295888,0.16696599756229996
