date,window,assets_used,mean_abs_corr,h0_landscape_l1,h1_landscape_l1,beta1,total_persistence_h0,total_persistence_h1,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1926-09-13,60,49,0.1922834023154076,12.694217283738805,0.012854171086030597,10,48.8080912232399,0.850594699382782,False,2.147153191529273,-3.5383835094060014,-3.9207306057312725,-1.8831343457077818,-2.973244362748343,-2.033667926412825
1926-09-14,60,49,0.19302656945190685,12.697147084662506,0.013368817942255085,11,48.790104538202286,0.880305826663971,False,2.14833654209047,-3.7122201119158658,-4.462252296745387,-1.880439549468801,-3.1142136086200685,-2.2041578049319304
1926-09-15,60,49,0.19353340697057764,12.623893976271464,0.013983237359410872,8,48.64957222342491,0.9654695391654968,False,2.118749512397522,-3.919757732524323,-2.8376872237030453,-1.8593847551848413,-3.518286608387315,-2.0032733614804004
1926-09-16,60,49,0.19493856744295962,12.587447758510425,0.015189724643585478,9,48.58861327171326,1.069992184638977,False,2.104028835681182,-4.327283102427257,-3.3792089147171587,-1.8502517796831712,-4.014211194804575,-2.2933852311901957
1926-09-17,60,49,0.20444405692459983,12.316386421930497,0.012247069861285098,11,48.02528837323189,0.9139143228530884,False,1.994546794711827,-3.333317816275059,-4.462252296745387,-1.7658534697901969,-3.2736745512434826,-2.1681102678684594
1926-09-18,60,49,0.20488782671460082,12.269556548006895,0.012469053400851138,10,47.91027703881264,0.9420896768569946,False,1.9756321452078327,-3.408299065775672,-3.9207306057312725,-1.7486222728917673,-3.4073570725598064,-2.1018753743501373
1926-09-20,60,49,0.2105842609333353,12.1184363421063,0.014355245048960796,11,47.61321872472763,1.0096021890640259,False,1.9145944893677949,-4.0454139025305285,-4.462252296745387,-1.7041164828654098,-3.7276810994019804,-2.4049738584351017
1926-09-21,60,49,0.20751271905902838,12.134478161660045,0.016771854721977952,11,47.67103314399719,1.0244428515434265,False,1.9210738020125484,-4.861692502251599,-4.462252296745387,-1.712778339081865,-3.7980950213699454,-2.5827488714872495
1926-09-22,60,49,0.2076850854325402,12.128395126844659,0.017783770417552525,10,47.663373589515686,1.0420114398002625,False,1.9186168560117685,-5.203495788169971,-3.9207306057312725,-1.711630771391328,-3.8814520281289937,-2.559738467481959
1926-09-23,60,49,0.20804094324107894,12.08061481501757,0.015545084062019932,13,47.57358980178833,0.9816158413887024,False,1.8993183233512858,-4.447315845702349,-5.5452956787736145,-1.6981792091394083,-3.59489534916247,-2.6772735518853112
