date,window,assets_used,mean_abs_corr,h0_landscape_l1,h1_landscape_l1,beta1,total_persistence_h0,total_persistence_h1,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1926-09-13,60,49,0.1918512724677943,12.771438980787606,0.005541134724560415,11,48.936755895614624,0.6152334809303284,False,2.181373261153012,-1.0697170290700309,-4.3878147502287375,-1.9041486216055503,-1.8637562865022868,-1.4088126852507188
1926-09-14,60,49,0.19540102414080848,12.711456902367171,0.006175186364619556,5,48.80229672789574,0.6024535298347473,False,2.1571215438658253,-1.284355150412398,-1.188672873680471,-1.8839926360004007,-1.802849362622098,-0.8005496957699085
1926-09-15,60,49,0.19495789145032327,12.697703806545574,0.007357187896903206,6,48.762654811143875,0.6861520409584045,False,2.151560946426185,-1.6844843706278017,-1.7218631864385154,-1.8780501486492849,-2.2017412525649633,-1.0669156023708761
1926-09-16,60,49,0.1957501254225267,12.681564891928407,0.007806728844220956,9,48.742322862148285,0.7645306587219238,False,2.1450357241443867,-1.8366622348625665,-3.321434124712649,-1.875002305365467,-2.575279497762765,-1.492668487711812
1926-09-17,60,49,0.2062715013177501,12.349229197330526,0.00582519146103877,7,48.07024773955345,0.6604233980178833,False,2.0106670673376743,-1.1658754496470538,-2.25505349919656,-1.774255463581336,-2.0791232170655376,-1.0527281124305625
1926-09-18,60,49,0.20690775171175002,12.374277428029382,0.006091128124380063,8,48.0848563015461,0.7068450450897217,False,2.020794469145844,-1.255899892782803,-2.7882438119546045,-1.7764453474712265,-2.3003603488394675,-1.2200309863804517
1926-09-20,60,49,0.21130349285327413,12.265977376535435,0.005353419474314336,9,47.867554008960724,0.6229062080383301,False,1.9770070196245182,-1.006171970411445,-3.321434124712649,-1.743870834660959,-1.9003231092096216,-1.1989586038740314
1926-09-21,60,49,0.2089297127917851,12.29113056352687,0.006123171648629189,10,47.945114970207214,0.6875309348106384,False,1.9871768569467978,-1.2667472140599458,-3.8546244374706933,-1.7554975436829445,-2.2083128100199763,-1.4196010296573522
1926-09-22,60,49,0.20985384413293323,12.228658572134403,0.005976007728830446,9,47.83994787931442,0.668243944644928,False,1.9619184278707298,-1.2169295252798418,-3.321434124712649,-1.739732561598552,-2.1163945207311343,-1.2865144608902894
1926-09-23,60,49,0.2089481569830898,12.212352504527082,0.007610679021412103,9,47.80853456258774,0.6842723488807678,False,1.9553256229514562,-1.7702957703688054,-3.321434124712649,-1.7350235754394467,-2.192782981798935,-1.4128421658736758
1926-09-24,60,49,0.21067696892943358,12.15820895868002,0.0090462228664423,8,47.677119731903076,0.7564544081687927,False,1.9334345181183592,-2.2562537184834723,-2.7882438119546045,-1.7153239485525613,-2.536789555665336,-1.472635303307523
1926-09-25,60,49,0.2090182519047922,12.162740632220995,0.009200595655006971,7,47.70421826839447,0.7749515175819397,False,1.9352667464846922,-2.3085117416956087,-2.25505349919656,-1.7193861313007328,-2.624943416865917,-1.3945256085148252
1926-09-27,60,49,0.20828118189037573,12.163016234073016,0.008797168126318589,7,47.68583244085312,0.7617016434669495,False,1.935378176738112,-2.1719441163088313,-2.25505349919656,-1.7166300196755513,-2.561796925294221,-1.3540092767474103
1926-09-28,60,49,0.20823923218933021,12.194472351097094,0.009555519119592404,6,47.734917402267456,0.7342753410339355,False,1.9480963898629295,-2.428659850849361,-1.7218631864385154,-1.7239880584949285,-2.431088153241079,-1.2715005718321908
1926-09-29,60,49,0.21095712286940294,12.134483925156513,0.007900865449465222,6,47.621449649333954,0.6778278946876526,False,1.923842106171441,-1.8685292040849673,-1.7218631864385154,-1.7069787728242192,-2.162069884537933,-1.1071197883428385
1926-09-30,60,49,0.2078843324057723,12.218583721704391,0.00852835159661769,7,47.78095990419388,0.7222406268119812,False,1.957845004095269,-2.0809447855360355,-2.25505349919656,-1.730890020048002,-2.37373289283716,-1.2965552387044976
1926-10-01,60,49,0.20561250461435182,12.210216014466098,0.00870983627838573,8,47.750729620456696,0.7358496785163879,False,1.9544618057195375,-2.1423806823716247,-2.7882438119546045,-1.7263583754291678,-2.4385911595114713,-1.428222444709466
