date,window,assets_used,mean_abs_corr,h0_landscape_l1,h1_landscape_l1,beta1,total_persistence_h0,total_persistence_h1,recession,h0_landscape_l1_z,neg_h1_landscape_l1_z,neg_beta1_z,neg_total_persistence_h0_z,neg_total_persistence_h1_z,composite_z
1926-09-13,60,40,0.2191184903523942,10.133363037887763,0.0015636173172319,4,39.24114018678665,0.2385733723640442,False,,,,,,
1926-09-14,60,40,0.222701999869801,10.08146210804399,0.0024250112207377,3,39.12037226557731,0.2789165377616882,False,,,,,,
1926-09-15,60,40,0.2229908709697792,10.064441178761138,0.0026181420666366,3,39.08067122101784,0.3176538348197937,False,,,,,,
1926-09-16,60,40,0.2236480508821975,10.051085972641117,0.0030387666841118,2,39.05816173553467,0.3921041488647461,False,,,,,,
1926-09-17,60,40,0.2383744333039386,9.778947845357951,0.0026433532072829,3,38.494917303323746,0.3477663993835449,False,,,,,,
1926-09-18,60,40,0.2393736119578721,9.740726775607008,0.0034147893689446,3,38.39959970116615,0.4150071144104004,False,,,,,,
1926-09-20,60,40,0.2428282671309515,9.66951212757496,0.0028935024741727,4,38.24832201004028,0.361681580543518,False,,,,,,
1926-09-21,60,40,0.2399111592068286,9.728360152421086,0.0036234567229529,4,38.38297885656357,0.3762344717979431,False,,,,,,
1926-09-22,60,40,0.2406150726348574,9.706056272872438,0.0041064815619487,3,38.34715873003006,0.3672696948051452,False,,,,,,
1926-09-23,60,40,0.2405094740649571,9.666261815383864,0.0051253451670847,4,38.27312183380127,0.3968943953514099,False,,,,,,
1926-09-24,60,40,0.2440250072295336,9.616410643199869,0.0068940072406471,3,38.14660805463791,0.4337261319160461,False,,,,,,
1926-09-25,60,40,0.2418176447446983,9.669589966121409,0.0082970140007256,3,38.26562136411667,0.4474114775657654,False,,,,,,
1926-09-27,60,40,0.2414889045524872,9.684256935927053,0.0069006022381836,4,38.27305054664612,0.4510440230369568,False,,,,,,
1926-09-28,60,40,0.2415050533491503,9.6868277058079,0.0048421537106317,3,38.28461849689483,0.3617253303527832,False,,,,,,
1926-09-29,60,40,0.2447540830569361,9.65814598475948,0.0049156723364101,2,38.22560012340546,0.347231924533844,False,,,,,,
1926-09-30,60,40,0.2417351080372182,9.730518647011316,0.005106849355223,3,38.35860687494278,0.3736276030540466,False,,,,,,
1926-10-01,60,40,0.2399221658539968,9.739621649093955,0.0035041343523518,2,38.36291950941086,0.3234302401542663,False,,,,,,
1926-10-02,60,40,0.2331651120573536,9.838369330302118,0.0030118539903556,3,38.52639138698578,0.3119874596595764,False,,,,,,
1926-10-04,60,40,0.2539839933659565,9.412493756300345,0.0037982215090384,3,37.582919746637344,0.3351480960845947,False,,,,,,
1926-10-05,60,40,0.2658826847089708,9.251510769571771,0.0040033863804485,3,37.234157264232635,0.3299089670181274,False,,,,,,
1926-10-06,60,40,0.2708281584619809,9.124462575875407,0.0030611266176689,3,37.0095728635788,0.2782456278800964,False,,,,,,
1926-10-07,60,40,0.2695546025890696,9.124809140618735,0.002937387258183,3,37.02862960100174,0.2707358002662658,False,,,,,,
1926-10-08,60,40,0.2629618911183252,9.257423014852316,0.0035843135947786,3,37.33714282512665,0.3388140201568603,False,,,,,,
1926-10-09,60,40,0.2698748004905066,9.1296150735318,0.002086054045443,2,37.00552123785019,0.2393812537193298,False,,,,,,
1926-10-11,60,40,0.2779850204419896,8.997674018826114,0.0018577397847003,2,36.74049788713455,0.1990419626235962,False,,,,,,
1926-10-13,60,40,0.279406665705936,8.97901140052904,0.0013764181861333,2,36.70727527141571,0.2321832180023193,False,,,,,,
1926-10-14,60,40,0.2839286888748802,8.873340964919228,0.0037381550513639,2,36.45654261112213,0.3477466106414795,False,,,,,,
1926-10-15,60,40,0.3125799099653341,8.440812750870665,0.0037237440180275,2,35.36711549758911,0.3186704516410827,False,,,,,,
1926-10-16,60,40,0.3154389284230957,8.391201080728036,0.0029383909592661,2,35.25176027417183,0.2721180319786072,False,,,,,,
1926-10-18,60,40,0.3183177910179021,8.337673865393793,0.0024280348905829,2,35.11120343208313,0.2520017623901367,False,,,,,,
1926-10-19,60,40,0.3239366304184362,8.217651982717108,0.0020697457386047,2,34.83984023332596,0.212466299533844,False,,,,,,
1926-10-20,60,40,0.3229316895973325,8.265324253732551,0.0025274553124017,2,34.9612075984478,0.23482346534729,False,,,,,,
1926-10-21,60,40,0.3427515293993448,7.945311366551399,0.0017625190918222,1,34.20802187919617,0.203258216381073,False,,,,,,
1926-10-22,60,40,0.3347855116958725,8.040277627679117,0.0015536864095384,1,34.44348984956741,0.2152110338211059,False,,,,,,
1926-10-23,60,40,0.3404650108723934,7.975167539179525,0.0007000690258056,2,34.31187295913696,0.1149427890777587,False,,,,,,
1926-10-25,60,40,0.3410814706305003,7.96017359112745,0.0009980762142838,2,34.28169620037079,0.1232367753982544,False,,,,,,
1926-10-26,60,40,0.3424090152968864,7.9028671684702,0.0012751221905187,2,34.13441729545593,0.1531528234481811,False,,,,,,
1926-10-27,60,40,0.3428456199043819,7.901010183523094,0.0003381598602665,2,34.12972289323807,0.0724953413009643,False,,,,,,
1926-10-28,60,40,0.3432466597326767,7.9112974988890254,0.0005931390656277,1,34.11543357372284,0.097746193408966,False,,,,,,
1926-10-29,60,40,0.3428800688604648,7.951647862329436,0.0008603652227909,1,34.22373378276825,0.1169081330299377,False,,,,,,
1926-10-30,60,40,0.343975101579656,7.94626265601462,0.0009248179574337,1,34.19578367471695,0.1207008957862854,False,,,,,,
